empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.address,extra.altitude,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.normal_bikes,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid,extra.post_code
1,18,fb337bbed72e2be090071e199899b2be,43.665269,-79.319796,Queen St E / Woodward Ave,2024-08-05T17:31:32.819000Z,Queen St E / Woodward Ave,0.0,2,True,1722879012,16,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,19,7303,
10,4,4ff88d5880e71aa40d34cfe5d09b0ca7,43.67142,-79.445947,Primrose Ave / Davenport Rd,2024-08-05T17:31:32.822000Z,Primrose Ave / Davenport Rd,0.0,1,True,1722878987,3,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,15,7301,
0,23,a09c67c0b419654d907c9134b108e328,43.666224,-79.317693,Queen St E / Rhodes Ave,2024-08-05T17:31:32.850000Z,Queen St. E / Rhodes Ave.,0.0,0,True,1722878955,23,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,23,7309,
34,2,d6a9daee68070a8b106cfb598d81308c,43.653236,-79.376716,Bond St / Queen St E,2024-08-05T17:31:32.952000Z,Bond St / Queen St E,0.0,0,True,1722879026,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,37,7045,
19,15,8f8af40d9388c8a3962559e8681d3db7,43.663722,-79.380288,Church St / Alexander St,2024-08-05T17:31:32.969000Z,Church St / Alexander St,0.0,0,True,1722879049,15,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,35,7044,
11,11,5a441560e262305d1934fb3ada5a9517,43.657763,-79.389165,University Ave / Gerrard St W (East Side),2024-08-05T17:31:32.984000Z,University Ave / Gerrard St W,0.0,0,True,1722878923,11,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,25,7047,
6,17,18ea490ab3ca4d10e2927308416edbef,43.656729,-79.382736,Edward St / Yonge St,2024-08-05T17:31:33.016000Z,Edward St / Yonge St,,2,True,1722878932,15,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,23,7041,
4,11,b7850948607474362d3728f19a77fdff,43.664467,-79.414783,Euclid Ave / Bloor St W,2024-08-05T17:31:33.032000Z,Euclid Ave / Bloor St W,0.0,9,True,1722878913,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,19,7040,
7,16,7ffd06e0207f80fe1ff6b5ae0bb0544c,43.675492,-79.388858,Yonge St / Aylmer Ave,2024-08-05T17:31:33.042000Z,Yonge St / Aylmer Ave,0.0,3,True,1722878980,13,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,23,7128,
9,1,17fadbdc5848036c8485099bbf517294,43.674991,-79.396273,Davenport Rd / Avenue Rd,2024-08-05T17:31:33.051000Z,Davenport Rd / Avenue Rd,0.0,1,True,1722878975,0,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,11,7129,
10,6,843dcb87ce2ddb002d2b2900a5418355,43.671944,-79.387778,Yonge St / Yorkville Ave,2024-08-05T17:31:33.062000Z,Yonge St / Yorkville Ave,0.0,0,True,1722879063,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,17,7126,
3,16,438406694750984faa317bc6b1f3f909,43.662365,-79.351104,Dundas St E / Broadview Ave,2024-08-05T17:31:33.069000Z,Dundas St E / Broadview Ave,0.0,0,True,1722878947,16,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,19,7124,
38,8,41c3e6d3bf3bd993e7d56e22084ab5ee,43.646144,-79.377962,Front St W / Yonge St (Hockey Hall of Fame),2024-08-05T17:31:33.076000Z,Front St W / Yonge St (Hockey Hall of Fame),0.0,0,True,1722878956,8,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,47,7048,
2,8,c95712a6fe0babf73cb9da2c05889749,43.663993,-79.358534,Gerrard St E / River St,2024-08-05T17:31:33.089000Z,Gerrard St E / River St,0.0,0,True,1722878942,8,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,11,7120,
16,10,2aedc79960408d746f43fb1d91bf7030,43.657266,-79.374756,Jarvis St / Dundas St E,2024-08-05T17:31:33.094000Z,Jarvis St / Dundas St E,0.0,0,True,1722879063,10,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,27,7121,
15,0,77f9f2420581968255251d9f26c78024,43.673939,-79.441159,Regal Rd / Dufferin St,2024-08-05T17:31:33.524000Z,Regal Rd / Dufferin St,0.0,0,True,1722878995,0,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,15,7347,
2,6,7461a94289f2956b380e5b7684b56a1e,43.657991,-79.340075,Morse St / Eastern Ave,2024-08-05T17:31:33.552000Z,Morse St / Eastern Ave,0.0,0,True,1722878960,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,11,7342,
3,20,69dc0257a4d3a1dcd5af06dc3b4eed8c,43.66745,-79.329408,Alton Ave / Dundas St E (Greenwood Park),2024-08-05T17:31:33.555000Z,Alton Ave / Dundas St E (Greenwood Park),0.0,0,True,1722879021,20,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,23,7343,
12,2,365a0f49bf1c9b42c35b531688b9fed9,43.672453,-79.338259,Blake St / Boultbee Ave,2024-08-05T17:31:33.561000Z,Blake St / Boultbee Ave,0.0,0,True,1722878961,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,15,7340,
7,7,49021f20833894e3dbfaea4fb6e7a9dc,43.6592088,-79.3348396,Eastern Ave / Winnifred Ave,2024-08-05T17:31:33.568000Z,Eastern Ave / Winnifred Ave,0.0,0,True,1722878915,7,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,14,7341,
15,7,3910976dfd5888140602a42b14637022,43.689211,-79.35438,Gamble Ave / Broadview Ave,2024-08-05T17:31:33.582000Z,Gamble Ave / Broadview Ave,0.0,3,True,1722878987,4,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,23,7349,
