latitude,longitude,free_bikes,empty_slots,name
43.665269,-79.319796,16,3,Queen St E / Woodward Ave
43.67142,-79.445947,2,13,Primrose Ave / Davenport Rd
43.666224,-79.317693,7,16,Queen St E / Rhodes Ave
43.653236,-79.376716,16,21,Bond St / Queen St E
43.663722,-79.380288,12,21,Church St / Alexander St
43.657763,-79.389165,8,17,University Ave / Gerrard St W (East Side)
43.656729,-79.382736,1,22,Edward St / Yonge St
43.664467,-79.414783,5,9,Euclid Ave / Bloor St W
43.675492,-79.388858,16,7,Yonge St / Aylmer Ave
43.674991,-79.396273,5,6,Davenport Rd / Avenue Rd
43.671944,-79.387778,9,6,Yonge St / Yorkville Ave
43.662365,-79.351104,15,4,Dundas St E / Broadview Ave
43.646144,-79.377962,25,20,Front St W / Yonge St (Hockey Hall of Fame)
43.663993,-79.358534,2,8,Gerrard St E / River St
43.657266,-79.374756,12,15,Jarvis St / Dundas St E
43.673939,-79.441159,1,13,Regal Rd / Dufferin St
43.657991,-79.340075,6,2,Morse St / Eastern Ave
43.66745,-79.329408,23,0,Alton Ave / Dundas St E (Greenwood Park)
43.672453,-79.338259,10,5,Blake St / Boultbee Ave
43.6592088,-79.3348396,10,4,Eastern Ave / Winnifred Ave
43.689211,-79.35438,2,21,Gamble Ave / Broadview Ave
43.656927,-79.378497,4,11,111 Bond St (North of Dundas St E)  - SMART
43.658295,-79.372346,4,12,Dundas St E / Pembroke St - SMART
43.6940155,-79.2889842,2,17,Victoria Park Subway Station - SMART
43.6809164,-79.4229684,0,16,Wychwood Ave / Benson Ave - SMART
43.6910667,-79.39535,0,15,Lawton Blvd / Yonge St
43.6975969,-79.39654,2,13,Yonge St / Davisville Ave
43.639832,-79.395954,20,21,Fort York  Blvd / Capreol Ct
43.667333,-79.399429,9,8,St. George St / Bloor St W
43.6480008,-79.383177,5,18,King St W / York St
43.687999,-79.38906,3,13,Rosehill Ave / Avoca Ave - SMART
43.6563889,-79.45166666666667,8,6,Bloor St W / Dundas St W
43.639179,-79.399595,15,3,Bathurst St / Fort York Blvd
43.6616667,-79.40138888888889,8,7,Spadina Ave / Willcocks St
43.66666667,-79.45833333333334,4,14,Cariboo Ave / Railpath Trail
43.6576,-79.4032,8,6,College St / Major St
43.660694,-79.379052,1,17,McGill St / Church St
43.636533,-79.395854,11,14,Queens Quay W / Dan Leckie Way
43.643667,-79.380414,8,3,25 York St – Union Station South
43.666233,-79.373327,8,6,161 Bleecker St (South of Wellesley)
43.640114,-79.393249,16,2,Spadina Ave / Fort York Blvd
43.653766,-79.4016759,14,1,Augusta Ave / Denison Sq
43.6538888888889,-79.4413888888889,10,4,Lansdowne Ave / Whytock Ave
43.6508333333333,-79.4430555555556,8,11,Sterling Rd / Dundas St W
43.6544915,-79.422634,1,7,Ossington Ave / College St
43.6543604,-79.4655296,6,5,High Park Subway Station
43.635932,-79.465083,9,8,Lake Shore Blvd W / Ellis Ave
43.634896,-79.467763,9,9,Lake Shore Blvd W / Windermere Ave
43.6314,-79.4304,7,22,Martin Goodman Trail (Marilyn Bell Park)
43.636731,-79.444966,3,15,Lake Shore Blvd W / The Boulevard Club
43.6534268,-79.4512787,4,8,Dundas St W / Roncesvalles Ave Green P -SMART
43.7112153,-79.39894,0,16,Erskine Ave / Yonge St SMART
43.655227,-79.39201,4,11,D'Arcy St / McCaul St - SMART
43.685167,-79.34962,3,8,Mortimer Ave / Carlaw Ave SMART
43.6704537,-79.39014,5,3,Cumberland St / Bay St SMART
43.641389,-79.404444,11,3,Niagara St / Tecumseth St
43.6545174,-79.3895315,12,7,Dundas St W / St. Patrick St
43.665846,-79.404998,2,13,Robert St / Bloor St W - SMART
43.671349,-79.29451,8,2,Queen St E / Hammersmith Ave
43.667208,-79.312315,1,13,Queen St. E / Eastern Ave
43.669328,-79.288949,8,10,Hubbard Blvd / Balsam Av
43.672571,-79.289,8,7,Queen St. E / Spruce Hill Rd.
43.638497,-79.39192,9,10,Lower Spadina Ave / Lake Shore Blvd W
43.662771,-79.315223,0,15,Lower Coxwell Ave /  Lake Shore Blvd E
43.66852,-79.363525,4,6,Amelia St / Sumach St
43.652473,-79.401456,2,11,Augusta Ave / Dundas St W
43.643975,-79.419576,9,22,Queen St W / Ossington Ave
43.651318,-79.36023,13,6,Trinity St /Front St E
43.656094,-79.381484,6,25,Dundas St W / Yonge St
43.670318,-79.405181,2,7,Kendal Ave / Spadina Rd
43.639444,-79.423611,14,7,King St W / Joe Shuster Way
43.67,-79.42083333333333,3,7,Yarmouth Rd / Christie St
43.671389,-79.416389,10,4,Palmerston Ave / Vermont Ave
43.68,-79.42500000000001,4,14,Christie St / Benson Ave (Wychwood Barns)
43.6394444,-79.42527777777778,7,8,King St W / Fraser Ave
43.675791,-79.40698,1,14,Macpherson Ave / Spadina Rd
43.675556,-79.410278,0,15,Bridgman Ave / Kendal Ave
43.674444,-79.414722,6,9,Bridgman Ave / Bathurst St
43.671513,-79.408317,8,5,Kendal Ave / Bernard Ave
43.6783213,-79.35822,4,14,Pretoria Ave / Broadview Ave
43.6848652,-79.356602,4,18,Broadview Ave / Westwood Ave
43.68395,-79.347046,5,10,Fulton Ave / Pape Ave
43.690537,-79.341307,9,10,Cosburn Ave / Donlands Ave
43.704461,-79.423122,1,14,Beltline Trail / Chaplin Cres
43.659195,-79.329196,11,8,Lake Shore Blvd E / Leslie St
43.682645,-79.377557,1,21,Rosedale Park (20 Scholfield Ave)
43.6475,-79.43305555555555,14,1,Mary McCormick Rec Centre (Sheridan Ave)
43.671526,-79.44874,3,14,Davenport Rd / Lansdowne Ave
43.6452972,-79.3827914,15,0,Front St W / University Ave (2)
43.6452091,-79.3960744,11,6,457 King St W
43.6555556,-79.43361111111112,17,1,Dufferin St / Sylvan Av (Dufferin Grove Park)
43.645665,-79.415345,10,9,Crawford St / Queen St W
43.660207,-79.361275,20,7,Dundas St E / Regent Park Blvd
43.648655,-79.367061,21,4,Lower Sherbourne St / The Esplanade
43.6605603,-79.3437663,3,0,Jimmie Simpson Park (Queen St E)
43.6561111,-79.36138888888888,13,1,Queen St E / Sackville St
43.652219,-79.354455,6,21,Mill St / Tannery Rd
43.650279,-79.356832,14,1,Cherry St / Distillery Ln
43.649147,-79.395504,2,7,Queen St W / Spadina Ave
43.662085,-79.397735,8,9,Willcocks St / St. George St
43.659575,-79.365769,8,6,Dundas St E / Parliament St
43.668456,-79.393899,11,10,Queen's Park / Bloor St W
43.639052,-79.399792,12,8,Fort York Blvd / Bathurst St - SMART
43.6448617,-79.42822,11,3,Alma Ave / Gladstone Ave SMART
43.660414,-79.415646,9,4,Harbord St / Clinton St
43.661975,-79.407896,0,8,Central Tech  (Harbord St)
43.65905,-79.422988,7,3,Roxton Rd / Harbord St
43.66,-79.4088888888889,2,8,Ulster St / Bathurst St
43.690564,-79.326319,4,17,Mortimer Ave / Coxwell Ave
43.688325,-79.300463,6,7,Danforth Ave / Barrington Ave
43.658938,-79.383518,7,18,College Park - Gerrard Entrance
43.683378,-79.322961,0,15,Danforth Ave / Coxwell Ave
43.6425636,-79.3762,3,11,12 Harbour St
43.6521,-79.4486,3,9,Howard Park Ave / Dundas St W - SMART
43.633473,-79.425679,7,9,Dufferin Gate - SMART
43.630254,-79.420317,14,19,Lake Shore Blvd W / Ontario Dr
43.662403,-79.423098,17,17,Bloor St W / Shaw St - SMART
43.656945,-79.424911,10,7,Concord Ave / Dewson St
43.6817346,-79.4184725,0,18,Hocken Ave / Vaughan Rd
43.683296,-79.418734,0,19,St Clair Ave W / Bathurst St.
43.673831,-79.281455,12,6,Queen St E / Nursewood Rd
43.666325,-79.3014,13,7,Kewbeach Ave / Kenilworth Ave
43.651145,-79.423742,3,12,Lakeview Ave / Harrison St (Green P) – SMART
43.654905,-79.398448,9,9,Baldwin St / Spadina Ave - SMART
43.6571,-79.4056,3,6,College St / Borden St
43.652823,-79.393388,18,10,Beverley St / Dundas St W
43.665527,-79.387499,5,9,Bay St / St. Joseph St
43.6582,-79.3768,9,22,Gould St / Mutual St
43.671172,-79.354704,8,4,Riverdale Park North (Broadview Ave)
43.677076,-79.35667,2,11,Danforth Ave / Ellerbeck St
43.678401,-79.346289,5,16,Danforth Ave / Gough Ave
43.681991,-79.329455,2,16,Danforth Ave / Lamb Ave
43.6422222,-79.41111111111111,4,10,King St W / Stafford St
43.663808,-79.410491,8,9,Bathurst St / Lennox St
43.6666667,-79.41166666666668,15,7,Bathurst Subway Station
43.6638889,-79.41888888888889,9,10,Bloor St W / Christie St
43.661705,-79.425734,1,9,Ossington Ave / Bloor St W
43.6686111,-79.42027777777778,3,14,Essex St / Christie St - SMART
43.665327,-79.43235,7,11,Westmoreland Ave / Fernbank Ave
43.657343,-79.43112,5,14,Havelock St / Dufferin Park
43.645324,-79.40345,16,9,Bathurst St / Adelaide St W
43.650256,-79.36163,11,3,Mill St / Parliament St
43.651111111111106,-79.4213888888889,7,12,Ossington Ave / Harrison St
43.656296,-79.414663,2,12,80 Clinton St
43.651281,-79.411717,5,8,Claremont St / Dundas St W
43.65277778,-79.42972222,0,13,Rusholme Park Cres / College St
43.655,-79.418889,12,6,College St / Crawford St
43.663912,-79.327987,18,0,Queen St E / Alton Av
43.6462176,-79.3855048,7,8,Simcoe St / Wellington St W North
43.69595,-79.328535,5,14,Coxwell Ave / Plains Rd
43.6753188,-79.3462789,2,12,Carlaw Ave / Strathcona Ave
