id,name,latitude,longitude,free_bikes,empty_slots,bike_availability,ll,n_pois,n_bar_restaurant,n_cafe,n_live,n_park
fb337bbed72e2be090071e199899b2be,Queen St E / Woodward Ave,43.665269,-79.319796,18,1,94.74,"43.665269,-79.319796",42,24,4,3,9
4ff88d5880e71aa40d34cfe5d09b0ca7,Primrose Ave / Davenport Rd,43.67142,-79.445947,1,14,6.67,"43.67142,-79.445947",49,36,3,1,8
a09c67c0b419654d907c9134b108e328,Queen St E / Rhodes Ave,43.666224,-79.317693,12,11,52.17,"43.666224,-79.317693",50,29,6,3,10
d6a9daee68070a8b106cfb598d81308c,Bond St / Queen St E,43.653236,-79.376716,5,32,13.51,"43.653236,-79.376716",50,32,6,5,5
8f8af40d9388c8a3962559e8681d3db7,Church St / Alexander St,43.663722,-79.380288,3,32,8.57,"43.663722,-79.380288",50,34,9,2,4
5a441560e262305d1934fb3ada5a9517,University Ave / Gerrard St W (East Side),43.657763,-79.389165,7,18,28.0,"43.657763,-79.389165",50,37,7,1,5
18ea490ab3ca4d10e2927308416edbef,Edward St / Yonge St,43.656729,-79.382736,0,21,0.0,"43.656729,-79.382736",50,33,7,5,5
b7850948607474362d3728f19a77fdff,Euclid Ave / Bloor St W,43.664467,-79.414783,6,8,42.86,"43.664467,-79.414783",44,26,8,1,8
7ffd06e0207f80fe1ff6b5ae0bb0544c,Yonge St / Aylmer Ave,43.675492,-79.388858,21,2,91.3,"43.675492,-79.388858",50,37,9,0,4
17fadbdc5848036c8485099bbf517294,Davenport Rd / Avenue Rd,43.674991,-79.396273,0,10,0.0,"43.674991,-79.396273",50,37,5,1,7
843dcb87ce2ddb002d2b2900a5418355,Yonge St / Yorkville Ave,43.671944,-79.387778,4,12,25.0,"43.671944,-79.387778",50,34,13,2,1
438406694750984faa317bc6b1f3f909,Dundas St E / Broadview Ave,43.662365,-79.351104,15,4,78.95,"43.662365,-79.351104",50,33,8,2,4
41c3e6d3bf3bd993e7d56e22084ab5ee,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,31,14,68.89,"43.646144,-79.377962",50,34,5,4,4
c95712a6fe0babf73cb9da2c05889749,Gerrard St E / River St,43.663993,-79.358534,6,4,60.0,"43.663993,-79.358534",42,18,8,6,7
2aedc79960408d746f43fb1d91bf7030,Jarvis St / Dundas St E,43.657266,-79.374756,1,26,3.7,"43.657266,-79.374756",50,33,7,3,6
77f9f2420581968255251d9f26c78024,Regal Rd / Dufferin St,43.673939,-79.441159,0,14,0.0,"43.673939,-79.441159",50,39,5,0,5
7461a94289f2956b380e5b7684b56a1e,Morse St / Eastern Ave,43.657991,-79.340075,8,1,88.89,"43.657991,-79.340075",50,34,7,4,4
69dc0257a4d3a1dcd5af06dc3b4eed8c,Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,18,4,81.82,"43.66745,-79.329408",50,33,9,2,6
365a0f49bf1c9b42c35b531688b9fed9,Blake St / Boultbee Ave,43.672453,-79.338259,7,8,46.67,"43.672453,-79.338259",33,17,5,2,8
49021f20833894e3dbfaea4fb6e7a9dc,Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,10,4,71.43,"43.659209,-79.33484",50,32,8,3,7
3910976dfd5888140602a42b14637022,Gamble Ave / Broadview Ave,43.689211,-79.35438,0,22,0.0,"43.689211,-79.35438",30,15,6,1,7
1fe2e0ad1678ffaf965b10e03a08aaf2,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,5,10,33.33,"43.656927,-79.378497",50,33,6,4,7
e565aef96d6d5fce5279ef6f24b9ce69,Dundas St E / Pembroke St - SMART,43.658295,-79.372346,2,14,12.5,"43.658295,-79.372346",50,33,8,4,4
c765943cac057b6cac0946eff428bf5b,Victoria Park Subway Station - SMART,43.6940155,-79.2889842,1,18,5.26,"43.694016,-79.288984",47,33,5,0,4
e0dec8b8f5ed285bfbd952bb253084f4,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,0,16,0.0,"43.680916,-79.422968",50,33,10,1,6
5ee5f79fc51737623d425310eb0bf02b,Lawton Blvd / Yonge St,43.6910667,-79.39535,0,15,0.0,"43.691067,-79.39535",42,24,6,1,11
0daa4477ec313c30dc3036f4bd45e0ba,Yonge St / Davisville Ave,43.6975969,-79.39654,1,14,6.67,"43.697597,-79.39654",41,23,4,1,12
e2911ec2b832c350dad0a8831a30d273,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,8,35,18.6,"43.639832,-79.395954",50,30,8,1,9
57ef343f4e12ae497e29c3693d922197,St. George St / Bloor St W,43.667333,-79.399429,2,15,11.76,"43.667333,-79.399429",50,33,8,2,7
a0100ff8f210b72706e06b4c31a329fe,King St W / York St,43.6480008,-79.383177,4,19,17.39,"43.648001,-79.383177",50,33,4,5,6
75b9fc3e9bf42a5d26fa1393d9ce72ed,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,1,15,6.25,"43.687999,-79.38906",39,29,4,1,5
d3e1a4057d9bf7c31c216017a0f1989b,Bloor St W / Dundas St W,43.6563889,-79.45166666666667,7,8,46.67,"43.656389,-79.451667",45,31,8,1,3
8a4d335d5540e0c2132ffdb1def165f6,Bathurst St / Fort York Blvd,43.639179,-79.399595,4,15,21.05,"43.639179,-79.399595",50,27,7,1,11
359ce82fbe9d1e9e9962321e62f6066f,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,5,10,33.33,"43.661667,-79.401389",50,30,12,0,5
4077bf05c083f50d09a52487fd234193,Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,1,17,5.56,"43.666667,-79.458333",41,26,5,1,3
6aa469025f8c5ff029052fab35bca1f4,College St / Major St,43.6576,-79.4032,9,6,60.0,"43.6576,-79.4032",50,39,8,0,0
b086f4ccca33b1b976b40abe69b78d42,McGill St / Church St,43.660694,-79.379052,3,12,20.0,"43.660694,-79.379052",50,34,6,4,5
0fa15700b0d780b8f810ced06a01760d,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,4,20,16.67,"43.636533,-79.395854",45,15,6,1,12
