foursquare_id,ll,venue_ll,name,address,category
58d4650e2f91cb5ccec03447,"43.665269,-79.319796","43.663372,-79.319902",Rorschach Brewing,1001 Eastern Ave,Brewery
55667a68498e74fae3631f5e,"43.665269,-79.319796","43.664574,-79.325048",The Sidekick,1374 Queen St E,Coffee Shop
4baa029cf964a52085433ae3,"43.665269,-79.319796","43.662892,-79.312532",Woodbine Park,Queen St,Park
5859d15c1d21ba53f2f9b4ef,"43.665269,-79.319796","43.672346,-79.320804",Lake Inez,1471 Gerrard St E,Bar
61887b2d4467866f56d0f1e0,"43.665269,-79.319796","43.666823,-79.313292",History,1663 Queen St E,Concert Hall
4ae0c7a8f964a520638221e3,"43.665269,-79.319796","43.67205,-79.322451",Udupi Palace,1460 Gerrard St E,Indian Restaurant
4b942922f964a520f16b34e3,"43.665269,-79.319796","43.668614,-79.317268",British Style Fish & Chips,73 Coxwell Ave,Fish and Chips Shop
4ad9ebdcf964a520e61b21e3,"43.665269,-79.319796","43.665121,-79.321347",Chick-N-Joy,1483 Queen St E,Diner
4c1169396e5dc9b61b10b02d,"43.665269,-79.319796","43.666763,-79.315564",The Burger's Priest,1636 Queen St E,Burger Joint
59172e0169e77b035cdbe7bd,"43.665269,-79.319796","43.667418,-79.312824",Brett's Ice Cream,1698 Queen St W,Ice Cream Parlor
4b0ff2a5f964a520a16623e3,"43.665269,-79.319796","43.667359,-79.312862",Murphy's Law Irish Pub Inc,1702 Queen St E,Pub
4b4d2e7bf964a52089cd26e3,"43.665269,-79.319796","43.666113,-79.316921",Subway,1599 Queen St E,Deli
4b1b0a31f964a520ebf623e3,"43.665269,-79.319796","43.666527,-79.315069",Harvey's,1641 Queen St E,Restaurant
4ae33fa7f964a5204c9221e3,"43.665269,-79.319796","43.663838,-79.328252",Sweet Bliss Baking Co,1304A Queen St E,Bakery
4b65b9f1f964a520fefb2ae3,"43.665269,-79.319796","43.665065,-79.319",McDonald's,31 Woodward Ave,Burger Joint
5fdb88ac70334509b92baa73,"43.665269,-79.319796","43.666138,-79.31814",Jaclyn's,1588 Queen St E,Caribbean Restaurant
4ad9052cf964a520301721e3,"43.665269,-79.319796","43.672004,-79.322433",Regency Restaurant Inc,1423 Gerrard St E,Indian Restaurant
0ef74a7d893b43a66a136c74,"43.665269,-79.319796","43.665354,-79.322786",Camp Quality,1444 Queen St E,Campground
4f6f8dc0e4b08d8da7c679a0,"43.665269,-79.319796","43.666504,-79.322407",Duke of Connaught playground,Address not available,Playground
5c1c3a0d340a58002cd86fc9,"43.665269,-79.319796","43.6664,-79.316826",Butter Chicken Roti,1610 Queen St E,Indian Restaurant
5695ab2e498e137c237a50e6,"43.665269,-79.319796","43.664804,-79.324196",The Attic Arts Hub,1402 Queen St W,Theater
65614df34129f1571b088aa1,"43.665269,-79.319796","43.66471,-79.32426",Tulia Osteria,1402 Queen St E,Italian Restaurant
6131c739eb34ba4d23341521,"43.665269,-79.319796","43.664797,-79.324288",Maru Japanese Bistro,1402 Queen St W,Japanese Restaurant
4d9620afb188721e907bef36,"43.665269,-79.319796","43.664416,-79.325678",KFC,1364 Queen St E,Fried Chicken Joint
4fdbc663e4b029940a58c201,"43.665269,-79.319796","43.664482,-79.325548",The Beach,1366 Queen St E,Surf Spot
4ba2112ef964a52068d937e3,"43.665269,-79.319796","43.666856,-79.312829",Measurement Park,Address not available,Park
52cd757b11d2a691812f9e69,"43.665269,-79.319796","43.667418,-79.312824",Paint Nite,1702 Queen St E,Bar
4b96eb24f964a520bfed34e3,"43.665269,-79.319796","43.670658,-79.317731",Moncur Playground,165 Coxwell Ave,Playground
60ce6c2fe180036cc18a8b13,"43.665269,-79.319796","43.663466,-79.327959",Betty's East,1301 Queen St E,Dive Bar
584b6fef65e7c76fc4e5c627,"43.665269,-79.319796","43.663831,-79.328344",Lloyd's on Queen,1298 Queen St E,Bar
5b6e3526237dee002cd5242a,"43.665269,-79.319796","43.663766,-79.328474",Jules Bistro,1219 Queen St E,French Restaurant
4cb0e1f91463a143f900a1a9,"43.665269,-79.319796","43.660271,-79.313849",TH&SC Toronto Hydroplane & Sailing Club,Ashbridges Bay Rd,Harbor or Marina
616b46cbac57a80627ca3b73,"43.665269,-79.319796","43.668882,-79.31198",Maestro Omar's Gourmet Pizza,66 Kingston Rd,Pizzeria
4c24f6c5b7b8a59313633de8,"43.665269,-79.319796","43.664834,-79.3105",Woodbine Park Splash Pad,Address not available,Playground
4d20da58f7a9a14344d7309f,"43.665269,-79.319796","43.670037,-79.313097",Edgewood Parkette,2050 Dundas St W,Park
63572f6d1b330e754a85a52e,"43.665269,-79.319796","43.671893,-79.322416",Hakka Flame,1433 Gerrard St E,Indian Chinese Restaurant
